id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,customer_info,ProdTaken
0,50歳,Self Enquiry,2,900秒,Large Business,male,1.0,4.0,Basic,3.0,5,1,4,Executive,253905.0,未婚 車未所持 子供なし,1
1,56歳,Company Invited,1,14分,Salaried,Male,1.0,4.0,Standard,3.0,2,1,4,Senior Manager,404475.0,"離婚済み,車あり,子供無し",0
2,,Self Enquiry,1,10分,Large Business,Female,1.0,3.0,Basic,3.0,4,0,4,Executive,278145.0,"結婚済み、自動車未所有,子供なし",1
3,三十七歳,Self Enquiry,2,1080秒,Small Business,female,1.0,3.0,Standard,4.0,1,0,5,Senior Manager,326805.0,離婚済み、車所持、子供無し,0
4,48歳,Company Invited,3,1020秒,Small Business,female,1.0,3.0,Basic,4.0,4,0,4,Executive,258435.0,独身／車所持／無子,1
5,19歳,Self Enquiry,2,16分,Small Business,Male,1.0,3.0,Basic,3.0,2,0,4,Executive,月収26.0万円,独身、車未所持、子供ゼロ,0
6,47歳,Company Invited,3,840秒,Small Business,Male,1.0,3.0,Super Deluxe,4.0,年に1回,0,4,AVP,453180.0,独身 自家用車あり 子供なし,0
7,49歳,Self Enquiry,2,22分,Small Business,Male,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,261900.0,結婚済み、車未所持、子供なし,0
8,33歳,Company Invited,2,20分,Large Business,female,1.0,3.0,basic,3.0,4,0,4,Executive,247800.0,独身/車未所持/子供無し,1
9,３１歳,Company Invited,1,11分,Large Business,male,1.0,3.0,Basic,3.0,2,0,3,Senior Manager,257610.0,結婚済み、車所持、非育児家庭,0
10,51歳,Company Invited,1,14分,Small Business,Female,1.0,3.0,Standard,3.0,4,0,3,Senior Manager,351900.0,"未婚,車保有、子供なし",0
11,46歳,Self Enquiry,1,16分,Small Business,Male,1.0,3.0,Super Deluxe,4.0,年に6回,0,3,AVP,416430.0,離婚済み/車あり/子供なし,0
12,４９歳,Company Invited,1,32分,Small Business,ｆｅｍａｌｅ,1.0,3.0,SUPER DELUXE,3.0,4,0,3,AVP,477555.0,独身 車所持 子供なし,0
13,51歳,Self Enquiry,2,17分,Small Business,FEMALE,1.0,3.0,Super Deluxe,4.0,5,0,4,AVP,月収44.0万円,結婚済み、車所持、非育児家庭,0
14,53才,Company Invited,2,840秒,Small Business,FEMALE,1.0,3.0,Basic,3.0,1,0,3,Executive,月収30.0万円,独身／車所持／無子,1
15,20歳,Self Enquiry,1,24分,Small Business,female,1.0,3.0,Basic,3.0,年に2回,0,4,Executive,253665.0,独身 車所持 子供なし,1
16,25歳,Company Invited,2,1380秒,Small Business,male,1.0,3.0,Basic,3.0,1,0,3,Executive,258600.0,独身　車未所持　子供なし,1
17,五十三歳,Self Enquiry,2,35分,Small Business,male,1.0,3.0,super deluxe,3.0,4,0,3,AVP,月収50.0万円,未婚、車所持、子供無し,1
18,20代,Company Invited,2,420秒,Small Business,Female,1.0,3.0,Standard,3.0,1,1,3,Senior Manager,月収40.0万円,結婚済み、自動車未所有、子供無し,0
19,44歳,Company Invited,2,5分,Small Business,Ｍａｌｅ,1.0,3.0,Super Deluxe,3.0,1,1,4,AVP,286245.0,結婚済み	自動車未所有	子供なし,0
